Duración,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Respondidas,Puntaje,Nota,Certamen 1
0:25:00,0,0,0,0,0,0,1,1,0,1,1,1,12,5,41.67,64
0:25:00,0,0,0,1,1,0,1,0,1,1,0,0,12,5,41.67,57
0:26:00,0,0,0,0,1,0,1,1,1,1,0,0,12,5,41.67,10
0:26:00,1,0,0,0,1,0,0,0,0,1,1,1,12,5,41.67,
0:27:00,0,0,0,0,1,1,1,0,1,1,0,0,12,5,41.67,60
0:27:00,1,1,0,0,0,0,1,0,1,1,0,0,12,5,41.67,69
0:28:00,1,1,1,0,1,0,0,0,1,0,0,0,12,5,41.67,
0:29:00,0,0,0,0,1,0,1,1,0,1,1,0,12,5,41.67,61
0:29:00,0,0,0,0,0,0,1,1,1,0,1,1,12,5,41.67,27
0:29:00,1,1,0,0,0,0,1,0,0,1,1,0,12,5,41.67,34
0:30:00,0,0,0,0,0,0,0,1,1,1,1,1,12,5,41.67,6
0:30:00,1,0,0,0,0,0,1,0,1,1,0,1,12,5,41.67,40
0:31:00,1,0,0,0,1,0,0,1,1,1,0,0,12,5,41.67,
0:31:00,0,0,1,0,0,0,1,1,0,1,1,0,12,5,41.67,25
0:32:00,1,0,0,0,0,1,1,0,0,1,1,0,12,5,41.67,47
0:32:00,0,0,1,0,0,0,1,1,1,0,1,0,12,5,41.67,52
0:32:00,1,0,0,0,1,0,0,1,0,1,1,0,12,5,41.67,22
0:32:00,1,0,1,0,0,1,0,0,0,1,1,0,12,5,41.67,54
0:32:00,0,0,1,0,0,1,1,0,0,1,1,0,12,5,41.67,48
0:32:00,1,1,0,0,0,0,1,0,0,0,1,1,12,5,41.67,0
0:33:00,0,0,1,0,1,1,1,0,0,0,1,0,12,5,41.67,82
0:33:00,1,0,0,0,1,0,1,1,0,0,1,0,12,5,41.67,44
0:34:00,1,0,0,0,0,0,1,1,1,0,1,0,12,5,41.67,23
0:34:00,0,0,0,0,1,1,1,0,0,1,0,1,12,5,41.67,25
0:35:00,0,0,0,0,1,0,1,1,0,0,1,1,12,5,41.67,70
0:35:00,0,0,1,0,0,0,1,1,0,1,0,1,12,5,41.67,30
0:35:00,0,0,1,0,1,1,1,0,0,0,0,1,12,5,41.67,42
0:35:00,0,0,0,0,0,0,1,1,1,1,1,0,12,5,41.67,82
0:35:00,0,0,0,0,0,1,1,0,0,1,1,1,12,5,41.67,48
0:36:00,0,0,1,0,0,0,1,1,0,0,1,1,12,5,41.67,17
0:36:00,1,0,1,0,1,0,0,0,0,1,1,0,12,5,41.67,67
0:37:00,0,0,0,0,1,0,1,1,0,0,1,1,12,5,41.67,14
0:37:00,0,1,1,0,0,0,1,1,0,1,0,0,12,5,41.67,22
0:37:00,1,0,0,0,1,0,1,1,0,0,1,0,12,5,41.67,7
0:37:00,0,1,1,0,0,0,1,0,1,1,0,0,12,5,41.67,29
0:37:00,1,1,0,0,0,0,1,0,0,1,1,0,12,5,41.67,24
0:37:00,0,1,0,0,0,0,1,0,1,1,1,0,12,5,41.67,22
0:37:00,0,0,1,0,0,0,1,1,1,0,0,1,12,5,41.67,19
0:37:00,0,0,1,1,0,0,1,0,1,0,1,0,12,5,41.67,31
0:37:00,1,0,0,0,1,0,1,1,1,0,0,0,12,5,41.67,33
0:38:00,1,0,0,0,1,0,0,1,0,0,1,1,12,5,41.67,53
0:38:00,1,0,0,0,1,0,1,1,1,0,0,0,12,5,41.67,
0:38:00,1,1,1,0,0,0,0,0,0,1,1,0,12,5,41.67,36
0:38:00,0,1,1,0,1,0,1,0,1,0,0,0,12,5,41.67,0
