Duración,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Respondidas,Puntaje,Nota,Puntaje Ponderado,Puntaje NEM,Puntaje Ranking,Puntaje Lenguaje,Puntaje Matemática M1,Puntaje Matemática M2,Certamen 1,Abstracción,Descomposición,Patrones,Algoritmos,Aprobación C1,Nota Final,Aprobación Asignatura
0:29:00,1,0,1,0,,,,,,,,,4,2,16.67,676.8,757,896,801,601,430,21,33.33333333,0,0,33.33333333,0,13,0
0:46:00,0,1,1,0,,,,,,,,,4,2,16.67,791.4,956,990,663,780,609,45,0,0,0,66.66666667,0,81,1
0:29:00,0,1,1,0,,,,,,,,,4,2,16.67,701.2,951,993,649,579,444,18,0,0,0,66.66666667,0,58,1
0:29:00,1,0,1,,,,,,,,,,3,2,16.67,658.6,722,728,834,631,332,9,33.33333333,0,0,33.33333333,0,15,0
0:10:00,1,0,0,0,1,0,0,0,0,0,0,0,12,2,16.67,749.9,837,851,834,780,399,22,66.66666667,0,0,16.66666667,0,63,1
0:29:00,1,0,0,0,0,0,0,0,0,0,1,0,12,2,16.67,491.6,495,495,649,467,413,0,66.66666667,0,0,16.66666667,0,10,0
0:30:00,0,0,0,0,0,1,0,0,0,1,0,0,12,2,16.67,550.9,700,738,498,491,399,10,0,33.33333333,33.33333333,16.66666667,0,5,0
0:37:00,1,0,0,0,0,0,1,0,0,0,0,0,12,2,16.67,599.7,757,772,475,579,399,,33.33333333,0,33.33333333,16.66666667,0,2,0
0:43:00,1,0,0,0,0,0,1,0,0,0,0,0,12,2,16.67,558,622,622,633,526,430,0,33.33333333,0,33.33333333,16.66666667,0,12,0
0:45:00,0,0,0,0,0,0,1,0,0,0,1,0,12,2,16.67,,,,,,,34,33.33333333,0,33.33333333,16.66666667,0,17,0
0:48:00,1,0,0,0,0,0,0,0,0,0,1,0,12,2,16.67,626.8,742,745,606,609,385,11,66.66666667,0,0,16.66666667,0,18,0
0:55:00,0,0,0,0,1,0,1,0,0,0,0,0,12,2,16.67,777.1,922,936,692,780,459,21,33.33333333,0,33.33333333,16.66666667,0,16,0
0:44:00,0,0,0,,0,0,0,1,,1,0,0,10,2,16.67,689.7,794,952,574,588,399,0,0,66.66666667,0,16.66666667,0,0,0
